Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Francisco j. Garat,@Fran_Garat,,,,,17,https://x.com/Fran_Garat/status/1772395442199802066,https://x.com/Fran_Garat,"@soledadmartinez Por favor, me podría dar una mano, son 3, la calle esta oscura, 1 mes y 5 días. Gracias",Mar 25,2024-03-25T22:49:37.000Z
Radio Raheem,@xisusg,,,,,8,https://x.com/xisusg/status/1772318047241420939,https://x.com/xisusg,"Los martes pasa el camión, ok. Antes había un par de contenedores en Rawson, en la plaza cercana al geriátrico, etc.  Ahora, nada. En San Isidro hay en cada esquina un contenedor amarillo.",Mar 25,2024-03-25T17:42:05.000Z
Marianela,@marianlisboa,,,,,20,https://x.com/marianlisboa/status/1772316520288280606,https://x.com/marianlisboa,Por MD si,Mar 25,2024-03-25T17:36:01.000Z
Majo Castañon,@CastanonMajo,"https://pbs.twimg.com/media/GJdeXoCWUAAgODn?format=jpg&name=small, https://pbs.twimg.com/media/GJdeXoCWUAAgODn?format=jpg&name=small",,1,,8,https://x.com/CastanonMajo/status/1771988741671748070,https://x.com/CastanonMajo,@VivamosVL @ComunidadVL @transitomvl En serio no tienen ni 1 sola grua en todo el Municipio q pueda remolcar un auto q bloquea 2 garages? De q me sirve q le pongan la multa? Ni yo ni mi vecina podemos usar nuestros garages! Mas de $15000 d ABL! Desastre!,Mar 24,2024-03-24T19:53:32.000Z
goldenqx60,@gapqx60,,,,,2,https://x.com/gapqx60/status/1771684999852413047,https://x.com/gapqx60,@VivamosVL otra vez una maratón????    Todo menos para el vecino de Vicente López,Mar 23,2024-03-23T23:46:34.000Z
EL MONO TITI ..,@diegusmas,,,,,8,https://x.com/diegusmas/status/1771301547315539970,https://x.com/diegusmas,"@VivamosVL Soy un vecino de Vte López.Cuando van a arreglar las calles y las aceras,?, están todas destruidas. Años que gobiernan y no las arreglan .Que hacen con los impuestos  excesivos que pagamos ?
Espero un respuesta !.",Mar 22,2024-03-22T22:22:52.000Z
COCO DE OLIVOS,@CocoOlivos,,,,,14,https://x.com/CocoOlivos/status/1771251978582085925,https://x.com/CocoOlivos,Muchas gracias!,Mar 22,2024-03-22T19:05:54.000Z
Francisco j. Garat,@Fran_Garat,,,,1,15,https://x.com/Fran_Garat/status/1770975798503076328,https://x.com/Fran_Garat,"@VivamosVL Hola el 17/02 solicite arreglo de alumbrado publico, lo podrán solucionar por favor, ya paso más de un mes, MLV-353483-Q5T4Z2, tan difícil es?",Mar 21,2024-03-22T00:48:28.000Z
Elenanoantikakista #EstebanEjemploDeIntegridad,@elena27025,"https://pbs.twimg.com/media/GJMEGWHaIAAYylu?format=jpg&name=360x360, https://pbs.twimg.com/media/GJMEGWHaIAAYylu?format=jpg&name=360x360",,,,32,https://x.com/elena27025/status/1770763607879385199,https://x.com/elena27025,"@VivamosVL la estación Cetrangolo,  y la avenida Florida entre Yrigoyen y Malaver es una mugre. Hace meses que nadie limpia. Estamos en epidemia de dengue. Que esperan para hacer algo?",Mar 21,2024-03-21T10:45:17.000Z
Cintita Gta v,@cintita_v91280,,,,,2,https://x.com/cintita_v91280/status/1770585702457073849,https://x.com/cintita_v91280,@VivamosVL servicios públicos ! No salen hace rato ! NO HAY PODA Y NO REPARAN LUZ,Mar 20,2024-03-20T22:58:22.000Z
Cintita Gta v,@cintita_v91280,,,1,,5,https://x.com/cintita_v91280/status/1770585179628744740,https://x.com/cintita_v91280,@VivamosVL Mariano pelliza 3169 SIN LUZ !!!!!! Todas las superiores apagadas y hace meces,Mar 20,2024-03-20T22:56:17.000Z
Cintita Gta v,@cintita_v91280,,,,,9,https://x.com/cintita_v91280/status/1770394301781934104,https://x.com/cintita_v91280,"@VivamosVL Mariano pelliza 3145 me
Cansé por favor que vengan a arreglar la luz de arriba ! Es peligroso",Mar 20,2024-03-20T10:17:48.000Z
María Sotolano,@marusotolano,https://pbs.twimg.com/ext_tw_video_thumb/1770179245995700224/pu/img/J20xqT-eXlif9HfA.jpg,,2,,70,https://x.com/marusotolano/status/1770193871776907649,https://x.com/marusotolano,@VivamosVL una gestión ejemplo en la provincia de Bs As en la prevención del delito. Grande @soledadmartinez la seguridad de los vecinos está en buenas manos,Mar 19,2024-03-19T21:01:22.000Z
